iter	Logloss
0	0.6767707324
1	0.656714844
2	0.6422148666
3	0.624230889
4	0.613197049
5	0.5990002263
6	0.5816515785
7	0.566576226
8	0.5555835193
9	0.5474715338
10	0.5343565093
11	0.5227688007
12	0.512189714
13	0.5044707323
14	0.4930429696
15	0.4818342051
16	0.4720687193
17	0.4667072685
18	0.4593469772
19	0.4500846946
20	0.4451597176
21	0.4368204958
22	0.4327783857
23	0.4265409099
24	0.4228426457
25	0.4168347359
26	0.4130041712
27	0.4056047483
28	0.4004380894
29	0.3953712278
30	0.3908051194
31	0.3844169729
32	0.3796510005
33	0.3737768691
34	0.3708608479
35	0.3662025186
36	0.362029286
37	0.3590811529
38	0.3534575843
39	0.347526897
40	0.345104565
41	0.3433117465
42	0.3387563475
43	0.336339746
44	0.331957019
45	0.3288618782
46	0.3260206315
47	0.3232051528
48	0.3211534584
49	0.317768418
50	0.31452956
51	0.3118981377
52	0.3102011958
53	0.3085107983
54	0.3070455198
55	0.3048871174
56	0.3011707461
57	0.2996999464
58	0.2983172543
59	0.2967677387
60	0.2960916732
61	0.2943312054
62	0.2921904485
63	0.2901626479
64	0.2892629723
65	0.2871930574
66	0.2855940863
67	0.284425036
68	0.2831741504
69	0.2804617421
70	0.2788479468
71	0.2768814851
72	0.2751221644
73	0.2721239124
74	0.2699843722
75	0.2688964633
76	0.2682385671
77	0.2671905701
78	0.2658843616
79	0.2645871503
80	0.263810066
81	0.2633371357
82	0.2622182307
83	0.26061313
84	0.2588846614
85	0.2581908727
86	0.2561543246
87	0.2553703812
88	0.2551326789
89	0.2547421521
90	0.2545352345
91	0.2529876979
92	0.2525509187
93	0.2517347112
94	0.2508009031
95	0.2497419864
96	0.2488354131
97	0.2469579414
98	0.2465627337
99	0.2455499807
100	0.2444280494
101	0.2429540562
102	0.2426349486
103	0.2419905205
104	0.2414610047
105	0.2407276736
106	0.239984081
107	0.239213841
108	0.2388876631
109	0.2380717889
110	0.2372465186
111	0.2362661764
112	0.2358916713
113	0.2355537682
114	0.2352526193
115	0.2344726151
116	0.2338934061
117	0.2334443271
118	0.2329738847
119	0.2319690344
120	0.2313134128
121	0.2297599591
122	0.229099784
123	0.2280200394
124	0.2277593688
125	0.2273938793
126	0.2267827771
127	0.2259728493
128	0.2248531062
129	0.2241857162
130	0.2240047974
131	0.2233987245
132	0.2231831422
133	0.2223093879
134	0.221472024
135	0.2207605976
136	0.2205638208
137	0.2196249499
138	0.2194783326
139	0.2188475822
140	0.2186474794
141	0.2180795895
142	0.2174394623
143	0.2173570211
144	0.2170395055
145	0.216849588
146	0.2157968851
147	0.21512438
148	0.2146852977
149	0.2145980024
150	0.2144819118
151	0.2141347035
152	0.2139292565
153	0.2137486872
154	0.2134200393
155	0.2133496121
156	0.2132342843
157	0.2131205344
158	0.2130231699
159	0.2125936592
160	0.2124817142
161	0.2124413867
162	0.211632413
163	0.2109763915
164	0.2108500394
165	0.2106631277
166	0.2101136131
167	0.2088490226
168	0.2083204554
169	0.2081356857
170	0.2080396127
171	0.2079555606
172	0.2076777681
173	0.2074927157
174	0.2069633732
175	0.206511986
176	0.2060331391
177	0.2054249034
178	0.2053136805
179	0.204777774
180	0.2045540555
181	0.2042868572
182	0.2040006453
183	0.2035033173
184	0.2032296372
185	0.2028402006
186	0.2020533959
187	0.2018034468
188	0.2011419839
189	0.2010785954
190	0.2009792989
191	0.2009269942
192	0.2008641539
193	0.2008170311
194	0.2007543965
195	0.2001558608
196	0.1997013767
197	0.1993328296
198	0.1986941458
199	0.1985786424
200	0.1984187217
201	0.1983633576
202	0.1982033709
203	0.1980660579
204	0.1976240653
205	0.1969757813
206	0.1965187412
207	0.1964011618
208	0.196310744
209	0.1961612191
210	0.1959134601
211	0.1952777252
212	0.1948242922
213	0.1947217343
214	0.1945012534
215	0.1939936007
216	0.1939153248
217	0.1937881264
218	0.1933150283
219	0.1925027924
220	0.1923034669
221	0.1916499019
222	0.1911676231
223	0.1910502069
224	0.1909450688
225	0.1908946396
226	0.1908132914
227	0.1906393558
228	0.1900411843
229	0.189616966
230	0.1895603156
231	0.1887417975
232	0.1886909108
233	0.1885442682
234	0.1884632323
235	0.1883273792
236	0.1875276783
237	0.1871513138
238	0.1869900233
239	0.1869899985
240	0.1866523019
241	0.18649502
242	0.1859034458
243	0.1856976482
244	0.1853785864
245	0.1849792282
246	0.1844107128
247	0.1838151693
248	0.1837794072
249	0.1833888225
250	0.1833063639
251	0.1832547159
252	0.1829432224
253	0.1820369507
254	0.1817859307
255	0.1816948256
256	0.1812145664
257	0.1810693433
258	0.1807017357
259	0.1805748163
260	0.1804506125
261	0.1800584199
262	0.1795363783
263	0.1793285596
264	0.1785332065
265	0.1783907591
266	0.1782556218
267	0.1782376867
268	0.1781213883
269	0.1780897211
270	0.1780424517
271	0.1775093928
272	0.1773095373
273	0.1768368401
274	0.1767557443
275	0.1766983701
276	0.1766856205
277	0.1765546126
278	0.1762644391
279	0.1760646913
280	0.1756091186
281	0.1755496671
282	0.1751338323
283	0.1750334353
284	0.1742223632
285	0.174161043
286	0.1740637162
287	0.1739316683
288	0.173832431
289	0.1735578637
290	0.1732659247
291	0.1731109421
292	0.1730364875
293	0.1730213638
294	0.1729554775
295	0.172870139
296	0.1723802066
297	0.1721309612
298	0.1720804129
299	0.1716667543
